#node	identifier	x_position	y_position	color	annotation
DARS2	9606.ENSP00000497569	0.40013054830287204	0.5593181818181819	rgb(239,146,117)	Aspartate--tRNA ligase, mitochondrial; aspartyl-tRNA synthetase 2, mitochondrial.
DCPS	9606.ENSP00000263579	0.7385117493472586	0.23409090909090913	rgb(117,239,151)	m7GpppX diphosphatase; Decapping scavenger enzyme that catalyzes the cleavage of a residual cap structure following the degradation of mRNAs by the 3'->5' exosome-mediated mRNA decay pathway. Hydrolyzes cap analog structures like 7-methylguanosine nucleoside triphosphate (m7GpppG) with up to 10 nucleotide substrates (small capped oligoribonucleotides) and specifically releases 5'-phosphorylated RNA fragments and 7- methylguanosine monophosphate (m7GMP). Cleaves cap analog structures like tri-methyl guanosine nucleoside triphosphate (m3(2,2,7)GpppG) with very poor efficiency. Does not h [...] 
DNLZ	9606.ENSP00000360803	0.668798955613577	0.22659090909090907	rgb(117,239,121)	DNL-type zinc finger protein; May function as a co-chaperone towards HSPA9/mortalin which, by itself, is prone to self-aggregation.
DOHH	9606.ENSP00000398882	0.48785900783289815	0.6261363636363637	rgb(239,123,117)	Deoxyhypusine hydroxylase; Catalyzes the hydroxylation of the N(6)-(4-aminobutyl)-L- lysine intermediate produced by deoxyhypusine synthase/DHPS on a critical lysine of the eukaryotic translation initiation factor 5A/eIF- 5A. This is the second step of the post-translational modification of that lysine into an unusual amino acid residue named hypusine. Hypusination is unique to mature eIF-5A factor and is essential for its function (By similarity).
DPH5	9606.ENSP00000359127	0.5732375979112273	0.5095454545454546	rgb(117,227,239)	Diphthine methyl ester synthase; S-adenosyl-L-methionine-dependent methyltransferase that catalyzes four methylations of the modified target histidine residue in translation elongation factor 2 (EF-2), to form an intermediate called diphthine methyl ester. The four successive methylation reactions represent the second step of diphthamide biosynthesis.
EARS2	9606.ENSP00000456218	0.4181462140992167	0.5197727272727273	rgb(117,239,169)	Probable glutamate--tRNA ligase, mitochondrial; Catalyzes the attachment of glutamate to tRNA(Glu) in a two- step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu).
ERAL1	9606.ENSP00000254928	0.6037859007832899	0.5436363636363637	rgb(117,239,127)	GTPase Era, mitochondrial; Probable GTPase that plays a role in the mitochondrial ribosomal small subunit assembly. Specifically binds the 12S mitochondrial rRNA (12S mt-rRNA) to a 33 nucleotide section delineating the 3' terminal stem-loop region. May act as a chaperone that protects the 12S mt-rRNA on the 28S mitoribosomal subunit during ribosomal small subunit assembly; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Era GTPase family.
FARS2	9606.ENSP00000316335	0.3570496083550914	0.5402272727272728	rgb(117,239,157)	Phenylalanine--tRNA ligase, mitochondrial; Is responsible for the charging of tRNA(Phe) with phenylalanine in mitochondrial translation. To a lesser extent, also catalyzes direct attachment of m-Tyr (an oxidized version of Phe) to tRNA(Phe), thereby opening the way for delivery of the misacylated tRNA to the ribosome and incorporation of ROS-damaged amino acid into proteins; Belongs to the class-II aminoacyl-tRNA synthetase family.
FDXR	9606.ENSP00000416515	0.49177545691906005	0.39159090909090905	rgb(117,191,239)	NADPH:adrenodoxin oxidoreductase, mitochondrial; Serves as the first electron transfer protein in all the mitochondrial P450 systems including cholesterol side chain cleavage in all steroidogenic tissues, steroid 11-beta hydroxylation in the adrenal cortex, 25-OH-vitamin D3-24 hydroxylation in the kidney, and sterol C- 27 hydroxylation in the liver.
FOXRED1	9606.ENSP00000263578	0.5113577023498694	0.27704545454545454	rgb(117,126,239)	FAD-dependent oxidoreductase domain-containing protein 1; Required for the assembly of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I). Involved in mid-late stages of complex I assembly.
GATB	9606.ENSP00000263985	0.3789817232375979	0.5088636363636364	rgb(117,239,163)	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatB/GatE family. GatB subfamily.
GATC	9606.ENSP00000446872	0.514490861618799	0.21499999999999997	rgb(117,167,239)	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatC family.
GFM1	9606.ENSP00000264263	0.6429503916449087	0.5334090909090909	rgb(237,239,117)	Elongation factor G, mitochondrial; Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. Does not mediate the disassembly of ribosomes from messenger RNA at the termination of mito [...] 
GFM2	9606.ENSP00000427004	0.5967362924281985	0.39704545454545453	rgb(117,239,145)	Ribosome-releasing factor 2, mitochondrial; Mitochondrial GTPase that mediates the disassembly of ribosomes from messenger RNA at the termination of mitochondrial protein biosynthesis. Acts in collaboration with MRRF. GTP hydrolysis follows the ribosome disassembly and probably occurs on the ribosome large subunit. Not involved in the GTP-dependent ribosomal translocation step during translation elongation.
GLRX5	9606.ENSP00000328570	0.4471279373368146	0.3977272727272727	rgb(136,239,117)	Glutaredoxin-related protein 5, mitochondrial; Monothiol glutaredoxin involved in the biogenesis of iron- sulfur clusters. Involved in protein lipoylation, acting in the pathway that provides an iron-sulfur cluster to lipoate synthase. Required for normal iron homeostasis. Required for normal regulation of hemoglobin synthesis by the iron- sulfur protein ACO1. May protect cells against apoptosis due to reactive oxygen species and oxidative stress (By similarity).
GTPBP10	9606.ENSP00000222511	0.8450391644908617	0.5231818181818182	rgb(117,239,192)	GTP-binding protein 10; May be involved in the ribosome maturation process. Complements an ObgE(CgtA) function in E.coli ribosome maturation. Plays a role of GTPase in vitro. When missing, disorganization of the nucleolar architecture is observed; Belongs to the TRAFAC class OBG-HflX-like GTPase superfamily. OBG GTPase family.
GTPBP8	9606.ENSP00000373176	0.6734986945169713	0.4059090909090909	rgb(239,129,117)	GTP binding protein 8.
HARS2	9606.ENSP00000494965	0.37114882506527413	0.6315909090909092	rgb(117,215,239)	Histidine--tRNA ligase, mitochondrial; Mitochondrial aminoacyl-tRNA synthetase that catalyzes the ATP-dependent ligation of histidine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (His-AMP).
HSD17B10	9606.ENSP00000168216	0.5035248041775456	0.600909090909091	rgb(101,199,255)	3-hydroxyacyl-CoA dehydrogenase type-2; Mitochondrial dehydrogenase that catalyzes the beta-oxidation at position 17 of androgens and estrogens and has 3-alpha- hydroxysteroid dehydrogenase activity with androsterone. Catalyzes the third step in the beta-oxidation of fatty acids. Carries out oxidative conversions of 7-alpha-OH and 7-beta-OH bile acids. Also exhibits 20-beta-OH and 21-OH dehydrogenase activities with C21 steroids. By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction associated with Alzheimer disease (AD). Essential for structural [...] 
HSPA14	9606.ENSP00000367623	0.9108355091383812	0.2640909090909091	rgb(154,239,117)	Heat shock 70 kDa protein 14; Component of the ribosome-associated complex (RAC), a complex involved in folding or maintaining nascent polypeptides in a folding- competent state. In the RAC complex, binds to the nascent polypeptide chain, while DNAJC2 stimulates its ATPase activity. Belongs to the heat shock protein 70 family.
IBA57	9606.ENSP00000355672	0.4706266318537859	0.425	rgb(239,206,117)	Putative transferase CAF17, mitochondrial; Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway.
LARS2	9606.ENSP00000498867	0.45339425587467364	0.5375	rgb(117,239,187)	Probable leucine--tRNA ligase, mitochondrial; leucyl-tRNA synthetase 2, mitochondrial.
LIPT1	9606.ENSP00000377115	0.533289817232376	0.3834090909090909	rgb(117,173,239)	Lipoyltransferase 1, mitochondrial; Catalyzes the transfer of the lipoyl group from lipoyl-AMP to the specific lysine residue of lipoyl domains of lipoate-dependent enzymes; Belongs to the LplA family.
LIPT2	9606.ENSP00000309463	0.4933420365535248	0.4536363636363636	rgb(239,170,117)	Putative lipoyltransferase 2, mitochondrial; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate- dependent enzymes, which catalyze essential redox reactions. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity); Belongs to the LipB family.
MARS2	9606.ENSP00000282276	0.3241514360313316	0.5102272727272728	rgb(117,221,239)	Methionine--tRNA ligase, mitochondrial; methionyl-tRNA synthetase 2, mitochondrial.
MCAT	9606.ENSP00000290429	0.6398172323759792	0.7059090909090909	rgb(117,239,139)	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial; Catalyzes the transfer of a malonyl moiety from malonyl-CoA to the free thiol group of the phosphopantetheine arm of the mitochondrial ACP protein (NDUFAB1). This suggests the existence of the biosynthesis of fatty acids in mitochondria.
METTL1	9606.ENSP00000314441	0.5826370757180157	0.6343181818181819	rgb(239,141,117)	tRNA (guanine-N(7)-)-methyltransferase; Methyltransferase that mediates the formation of N(7)- methylguanine in a subset of RNA species, such as tRNAs, mRNAs and microRNAs (miRNAs). Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA. Also acts as a methyltransferase for a subset of internal N(7)-methylguanine in mRNAs. Internal N(7)-methylguanine methylation of mRNAs regulates translation. Also methylates a specific subset of miRNAs, such as let-7. N(7)-methylguanine methylation of let-7 miRNA promotes let-7 miRNA processing by disrupting an inhibitory seconda [...] 
MIPEP	9606.ENSP00000371607	0.4212793733681462	0.45704545454545453	rgb(124,239,117)	Mitochondrial intermediate peptidase; Cleaves proteins, imported into the mitochondrion, to their mature size.
MRM2	9606.ENSP00000242257	0.7189295039164492	0.5859090909090909	rgb(117,117,239)	rRNA methyltransferase 2, mitochondrial; S-adenosyl-L-methionine-dependent 2'-O-ribose methyltransferase that catalyzes the formation of 2'-O-methyluridine at position 1369 (Um1369) in the 16S mitochondrial large subunit ribosomal RNA (mtLSU rRNA), a universally conserved modification in the peptidyl transferase domain of the mtLSU rRNA; Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family.
MRM3	9606.ENSP00000306080	0.6875979112271541	0.5593181818181819	rgb(178,171,0)	rRNA methyltransferase 3, mitochondrial; S-adenosyl-L-methionine-dependent 2'-O-ribose methyltransferase that catalyzes the formation of 2'-O-methylguanosine at position 1370 (Gm1370) in the 16S mitochondrial large subunit ribosomal RNA (mtLSU rRNA), a conserved modification in the peptidyl transferase domain of the mtLSU rRNA.
MRPL10	9606.ENSP00000290208	0.7808093994778068	0.3834090909090909	rgb(117,120,239)	Mitochondrial ribosomal protein L10; Belongs to the universal ribosomal protein uL10 family.
MRPL13	9606.ENSP00000306548	0.6406005221932116	0.4618181818181818	rgb(117,132,239)	Mitochondrial ribosomal protein L13; Belongs to the universal ribosomal protein uL13 family.
MRPL15	9606.ENSP00000260102	0.7784595300261098	0.4318181818181818	rgb(117,138,239)	Mitochondrial ribosomal protein L15.
MRPL17	9606.ENSP00000288937	0.7197127937336816	0.4768181818181818	rgb(201,239,117)	Mitochondrial ribosomal protein L17.
MRPL20	9606.ENSP00000341082	0.6382506527415144	0.39840909090909093	rgb(0,178,157)	Mitochondrial ribosomal protein L20.
MRPL23	9606.ENSP00000380466	0.8199738903394256	0.40454545454545454	rgb(117,239,204)	Mitochondrial ribosomal protein L23.
MRPL28	9606.ENSP00000497004	0.5693211488250653	0.4345454545454545	rgb(117,239,133)	Mitochondrial ribosomal protein L28.
MRPL39	9606.ENSP00000305682	0.7980417754569191	0.5190909090909092	rgb(117,239,228)	Mitochondrial ribosomal protein L39; Belongs to the mitochondrion-specific ribosomal protein mL39 family.
MRPL43	9606.ENSP00000339844	0.6922976501305483	0.43795454545454543	rgb(239,200,117)	Mitochondrial ribosomal protein L43.
MRPL46	9606.ENSP00000312311	0.7259791122715405	0.3704545454545455	rgb(142,239,117)	Mitochondrial ribosomal protein L46; Belongs to the mitochondrion-specific ribosomal protein mL46 family.
MRPL47	9606.ENSP00000417602	0.7134464751958225	0.4072727272727273	rgb(239,176,117)	Mitochondrial ribosomal protein L47; Belongs to the universal ribosomal protein uL29 family.
MRPL55	9606.ENSP00000403614	0.6774151436031333	0.3629545454545454	rgb(189,239,117)	Mitochondrial ribosomal protein L55.
MRPL57	9606.ENSP00000310726	0.8278067885117494	0.4495454545454546	rgb(101,255,163)	Mitochondrial ribosomal protein L57; Belongs to the mitochondrion-specific ribosomal protein mL63 family.
MRPS11	9606.ENSP00000317376	0.6155352480417755	0.43727272727272726	rgb(117,233,239)	Mitochondrial ribosomal protein S11.
MRPS12	9606.ENSP00000384952	0.6640992167101829	0.49318181818181817	rgb(117,239,175)	Mitochondrial ribosomal protein S12.
MRPS16	9606.ENSP00000362036	0.5912532637075718	0.47545454545454546	rgb(239,235,117)	Mitochondrial ribosomal protein S16; Belongs to the bacterial ribosomal protein bS16 family.
MRPS18B	9606.ENSP00000259873	0.72911227154047	0.6220454545454546	rgb(231,239,117)	Mitochondrial ribosomal protein S18B; Belongs to the bacterial ribosomal protein bS18 family. Mitochondrion-specific ribosomal protein mS40 subfamily.
MRPS2	9606.ENSP00000360850	0.735378590078329	0.5265909090909091	rgb(195,239,117)	28S ribosomal protein S2, mitochondrial; Required for mitoribosome formation and stability, and mitochondrial translation; Belongs to the universal ribosomal protein uS2 family.
MRPS23	9606.ENSP00000320184	0.8058746736292429	0.5988636363636365	rgb(117,117,239)	Mitochondrial ribosomal protein S23; Belongs to the mitochondrion-specific ribosomal protein mS23 family.
MRPS24	9606.ENSP00000318158	0.7643603133159269	0.6370454545454546	rgb(117,117,239)	Mitochondrial ribosomal protein S24; Belongs to the universal ribosomal protein uS3 family.
MRPS26	9606.ENSP00000369682	0.7659268929503917	0.5743181818181818	rgb(178,239,117)	Mitochondrial ribosomal protein S26; Belongs to the mitochondrion-specific ribosomal protein mS26 family.
MRPS6	9606.ENSP00000382250	0.6531331592689296	0.5763636363636364	rgb(239,152,117)	Mitochondrial ribosomal protein S6.
MTERF4	9606.ENSP00000480378	0.8199738903394256	0.5572727272727273	rgb(239,117,117)	Transcription termination factor 4, mitochondrial; Regulator of mitochondrial ribosome biogenesis and translation. Binds to mitochondrial ribosomal RNAs 16S, 12S and 7S and targets NSUN4 RNA methyltransferase to the mitochondrial large ribosomal subunit (39S); Belongs to the mTERF family.
MTG1	9606.ENSP00000323047	0.7949086161879897	0.4788636363636363	rgb(118,239,117)	Mitochondrial ribosome-associated GTPase 1; Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays mitochondrial GTPase activity; Belongs to the TRAFAC class YlqF/YawG GTPase family. MTG1 subfamily.
MTG2	9606.ENSP00000359859	0.6875979112271541	0.5218181818181818	rgb(117,239,216)	Mitochondrial ribosome-associated GTPase 2; Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays GTPase activity. Involved in the ribosome maturation process.
MTO1	9606.ENSP00000402038	0.3977806788511749	0.5975	rgb(239,135,117)	Protein MTO1 homolog, mitochondrial; Involved in the 5-carboxymethylaminomethyl modification (mnm(5)s(2)U34) of the wobble uridine base in mitochondrial tRNAs. Belongs to the MnmG family.
N6AMT1	9606.ENSP00000303584	0.5513054830287206	0.6070454545454546	rgb(14,178,0)	Methyltransferase N6AMT1; Methyltransferase that can methylate both proteins and DNA, and to a lower extent, arsenic. Catalytic subunit of a heterodimer with TRMT112, which catalyzes N5-methylation of Glu residue of proteins with a Gly- Gln-Xaa-Xaa-Xaa-Arg motif  (By similarity). Methylates ETF1 on 'Gln-185'; ETF1 needs to be complexed to ERF3 in its GTP-bound form to be efficiently methylated. Also acts as a N(6)-adenine-specific DNA methyltransferase by mediating methylation of DNA on the 6th position of adenine (N(6)- methyladenosine). N(6)-methyladenosine (m6A) DNA is significantly [...] 
NARS2	9606.ENSP00000281038	0.45496083550913835	0.4979545454545455	rgb(117,239,210)	Probable asparagine--tRNA ligase, mitochondrial; asparaginyl-tRNA synthetase 2, mitochondrial; Belongs to the class-II aminoacyl-tRNA synthetase family.
NDUFAF6	9606.ENSP00000379430	0.4071801566579634	0.42363636363636364	rgb(117,239,181)	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6; Involved in the assembly of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I) at early stages. May play a role in the biogenesis of MT-ND1.
NFU1	9606.ENSP00000387219	0.5066579634464753	0.42227272727272724	rgb(117,239,198)	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial; Iron-sulfur cluster scaffold protein which can assemble [4Fe- 4S] clusters and deliver them to target proteins. Belongs to the NifU family.
NGRN	9606.ENSP00000368389	0.6092689295039165	0.5770454545454545	rgb(117,117,239)	Neugrin; Plays an essential role in mitochondrial ribosome biogenesis. As a component of a functional protein-RNA module, consisting of RCC1L, NGRN, RPUSD3, RPUSD4, TRUB2, FASTKD2 and 16S mitochondrial ribosomal RNA (16S mt-rRNA), controls 16S mt-rRNA abundance and is required for intra-mitochondrial translation of core subunits of the oxidative phosphorylation system.
NSUN4	9606.ENSP00000419740	0.7980417754569191	0.638409090909091	rgb(255,175,101)	5-methylcytosine rRNA methyltransferase NSUN4; Involved in mitochondrial ribosome assembly. 5-methylcytosine rRNA methyltransferase that probably is involved in mitochondrial ribosome small subunit (SSU) maturation by methylation of mitochondrial 12S rRNA; the function is independent of MTERFD2/MTERF4 and assembled mitochondrial ribosome large subunit (LSU). Targeted to LSU by MTERFD2/MTERF4 and probably is involved in a final step in ribosome biogenesis to ensure that SSU and LSU are assembled. In vitro can methylate 16S rRNA of the LSU; the methylation is enhanced by MTERFD/MTERF4; B [...] 
OXSM	9606.ENSP00000280701	0.5826370757180157	0.6956818181818182	rgb(117,238,239)	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial; May play a role in the biosynthesis of lipoic acid as well as longer chain fatty acids required for optimal mitochondrial function. Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family.
PDSS2	9606.ENSP00000358033	0.36723237597911224	0.39159090909090905	rgb(207,239,117)	Decaprenyl-diphosphate synthase subunit 2; Supplies decaprenyl diphosphate, the precursor for the side chain of the isoprenoid quinones ubiquinone-10.
PET117	9606.ENSP00000397881	0.5528720626631854	0.23000000000000004	rgb(166,239,117)	Protein PET117 homolog, mitochondrial; PET117 cytochrome c oxidase chaperone.
PGK1	9606.ENSP00000362413	0.4933420365535248	0.7325	rgb(239,158,117)	Phosphoglycerate kinase 1; Catalyzes one of the two ATP producing reactions in the glycolytic pathway via the reversible conversion of 1,3- diphosphoglycerate to 3-phosphoglycerate. In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein). May play a role in sperm motility.
PMVK	9606.ENSP00000357452	0.8763707571801567	0.2040909090909091	rgb(239,212,117)	Phosphomevalonate kinase.
POLG	9606.ENSP00000399851	0.4432114882506527	0.3302272727272727	rgb(117,203,239)	DNA polymerase subunit gamma-1; Involved in the replication of mitochondrial DNA. Associates with mitochondrial DNA; Belongs to the DNA polymerase type-A family.
POLG2	9606.ENSP00000442563	0.441644908616188	0.5790909090909092	rgb(117,149,239)	DNA polymerase subunit gamma-2, mitochondrial; Mitochondrial polymerase processivity subunit. Stimulates the polymerase and exonuclease activities, and increases the processivity of the enzyme. Binds to ss-DNA.
PPA2	9606.ENSP00000343885	0.4839425587467363	0.6840909090909092	rgb(187,255,101)	Inorganic pyrophosphatase 2, mitochondrial; Hydrolyzes inorganic pyrophosphate. This activity is essential for correct regulation of mitochondrial membrane potential, and mitochondrial organization and function ; Belongs to the PPase family.
PTCD1	9606.ENSP00000292478	0.6828981723237599	0.604318181818182	rgb(0,28,178)	Pentatricopeptide repeat-containing protein 1, mitochondrial; Mitochondrial protein implicated in negative regulation of leucine tRNA levels, as well as negative regulation of mitochondria- encoded proteins and COX activity. Affects also the 3'-processing of mitochondrial tRNAs; Belongs to the PTCD1 family.
PTPMT1	9606.ENSP00000325958	0.22154046997389037	0.7740909090909092	rgb(239,230,117)	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1; Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG) (By similarity). PGP is an essential intermediate in the biosynthetic pathway of cardiolipin, a mitochondrial-specific phospholipid regulating the membrane integrity and activities of the organelle (By similarity). Has also been shown to display phosphatase activity toward phosphoprotein substrates, specifically mediates dephosphorylation of mitochondrial proteins, thereby playing an essential role in ATP production  [...] 
RNASEH2C	9606.ENSP00000308193	0.8419060052219322	0.7740909090909092	rgb(117,155,239)	Ribonuclease H2 subunit C; Non catalytic subunit of RNase H2, an endonuclease that specifically degrades the RNA of RNA:DNA hybrids. Participates in DNA replication, possibly by mediating the removal of lagging-strand Okazaki fragment RNA primers during DNA replication. Mediates the excision of single ribonucleotides from DNA:RNA duplexes.
RPUSD4	9606.ENSP00000298317	0.722845953002611	0.6629545454545455	rgb(225,239,117)	Mitochondrial RNA pseudouridine synthase RPUSD4; Catalyzes uridine to pseudouridine isomerization (pseudouridylation) of different mitochondrial RNA substrates. Acts on position 1397 in 16S mitochondrial ribosomal RNA (16S mt-rRNA). This modification is required for the assembly of 16S mt-rRNA into a functional mitochondrial ribosome. Acts on position 39 in mitochondrial tRNA(Phe). As a component of a functional protein-RNA module, consisting of RCC1L, NGRN, RPUSD3, RPUSD4, TRUB2, FASTKD2 and 16S mt-rRNA, controls 16S mt-rRNA abundance and is required for intra-mitochondrial translatio [...] 
RTCB	9606.ENSP00000216038	0.7729765013054831	0.2940909090909091	rgb(117,144,239)	RNA-splicing ligase RtcB homolog; Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'-phosphodiester. May act as an RNA ligase with broad substrate specificity, and may function toward other RNAs.
SARS2	9606.ENSP00000472847	0.324934725848564	0.604318181818182	rgb(148,239,117)	Serine--tRNA ligase, mitochondrial; Catalyzes the attachment of serine to tRNA(Ser). Is also probably able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec).
SCO2	9606.ENSP00000444433	0.539556135770235	0.1597727272727273	rgb(239,182,117)	Protein SCO2 homolog, mitochondrial; Copper metallochaperone essential for the synthesis and maturation of cytochrome c oxidase subunit II (MT-CO2/COX2). Involved in transporting copper to the Cu(A) site on MT-CO2/COX2. Also acts as a thiol-disulfide oxidoreductase to regulate the redox state of the cysteines in SCO1 during maturation of MT-CO2/COX2.
SLC25A26	9606.ENSP00000346955	0.22154046997389037	0.23409090909090913	rgb(255,0,0)	S-adenosylmethionine mitochondrial carrier protein; Mitochondrial solute carriers shuttle metabolites, nucleotides, and cofactors through the mitochondrial inner membrane. Specifically mediates the transport of S-adenosylmethionine (SAM) into the mitochondria.
TFB1M	9606.ENSP00000356134	0.6406005221932116	0.6138636363636364	rgb(239,218,117)	Dimethyladenosine transferase 1, mitochondrial; S-adenosyl-L-methionine-dependent methyltransferase which specifically dimethylates mitochondrial 12S rRNA at the conserved stem loop. Also required for basal transcription of mitochondrial DNA, probably via its interaction with POLRMT and TFAM. Stimulates transcription independently of the methyltransferase activity.
TIMM10	9606.ENSP00000257245	0.6241514360313317	0.24227272727272725	rgb(239,224,117)	Mitochondrial import inner membrane translocase subunit Tim10; Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. May also be required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. Belongs to the small Tim family.
TOMM70	9606.ENSP00000284320	0.6578328981723238	0.27090909090909093	rgb(117,179,239)	Mitochondrial import receptor subunit TOM70; Receptor that accelerates the import of all mitochondrial precursor proteins.
