#node	identifier	domain_summary_url	annotation	other_names_and_aliases
GATC	9606.ENSP00000446872	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatC family.	https://smart.embl.de/smart/DDvec.cgi?smart=136:Pfam_Glu-tRNAGln(50|116)+	15E1.2,283459,6.3.5.-,6.3.5.6,6.3.5.7,AAI07146.1,AAI07147.1,AK094319,AL021546,B3KSU7,BAG52859.1,BC107145,BC107146,CCDS31911,CCDS31911.1,COXPD42,EC 6.3.5.6,EC 6.3.5.7,ENSG00000257218,ENSP00000229384,ENSP00000446872,ENSP00000448397,ENST00000229384,ENST00000229384.5,ENST00000548171,ENST00000548171.1,ENST00000551765,ENST00000551765.5,F8VRU3,FLJ37000,GATC,GATC-201,GATC-202,GATC-203,GATC_HUMAN,Glu-AdT subunit C,Glutamyl-tRNA amidotransferase subunit C,HGNC:25068,J3KMY1,NM_176818,NM_176818.2,NM_176818.3,NP_789788,NP_789788.1,NR_033684,NR_033684.2,NX_O43716,O43716,OMIM:617210,OTTHUMG00000047788,Protein 15E1.2,Q3B824,Q3KNR8,UPI0000124E0C,UPI0000E599EE,UPI00020CE456,gatC,glutamyl-tRNA amidotransferase subunit C,hsa:283459,uc010szi.3
GFM1	9606.ENSP00000264263	Elongation factor G, mitochondrial; Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. Does not mediate the disassembly of ribosomes from messenger RNA at the termination of mito [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=770:Pfam_GTP_EFTU(44|338)+Pfam_GTP_EFTU_D2(385|451)+Pfam_EFG_II(465|539)+EFG_IV(541|661)+EFG_C(663|750)+	85476,A6NCI9,AAH49210.1,AAK53402.1,AAK58877.1,AC025033,AC080013,ADP90694.1,ADP90695.1,ADP90697.1,ADP90698.1,ADP90699.1,ADP90702.1,ADP90705.1,ADP90706.1,ADP90708.1,ADP90709.1,ADP90711.1,ADP90712.1,ADP90713.1,ADP90715.1,ADP90716.1,ADP90717.1,ADP90719.1,ADP90720.1,ADP90723.1,ADP90726.1,ADP90729.1,ADP90730.1,ADP90731.1,ADP90732.1,ADP90733.1,AF309777,AF367998,AK092293,AK315031,ALQ34274.1,B2RCB9,B3KRW1,BAG37516.1,BAG52523.1,BC049210,C9IZ01,C9JA25,CCDS33885,CCDS33885.1,CCDS77851,CCDS77851.1,CCDS82867,CCDS82867.1,CH471052,COXPD1,E5KND5,EAW78677.1,EAW78682.1,EF-Gmt,EFG,EFG1,EFGM,EFGM_HUMAN,EGF1,ENSG00000168827,ENSP00000264263,ENSP00000302828,ENSP00000326791,ENSP00000327081,ENSP00000374209,ENSP00000374210,ENSP00000406847,ENSP00000417225,ENSP00000417532,ENSP00000418755,ENSP00000419038,ENSP00000420272,ENST00000264263,ENST00000264263.9,ENST00000305675,ENST00000312707,ENST00000312756,ENST00000312756.4,ENST00000389558,ENST00000389559,ENST00000458558,ENST00000464732,ENST00000464732.1,ENST00000472383,ENST00000472383.1,ENST00000477721,ENST00000477721.1,ENST00000478251,ENST00000478251.1,ENST00000478254,ENST00000478254.5,ENST00000478576,ENST00000478576.5,ENST00000481468,ENST00000481468.1,ENST00000486715,ENST00000486715.5,ENST00000490261,ENST00000490261.1,Elongation factor G,Elongation factor G 1, mitochondrial,Elongation factor G, mitochondrial,Elongation factor G1,F8WAU4,G elongation factor mitochondrial 1,G translation elongation factor, mitochondrial,GFM,GFM1,GFM1-201,GFM1-202,GFM1-203,GFM1-204,GFM1-205,GFM1-206,GFM1-207,GFM1-208,GFM1-209,GFM1-210,GFM1-211,H7C5M4,HGNC:13780,HPA034764,HPA034765,HPA061405,HQ205226,HQ205227,HQ205229,HQ205230,HQ205231,HQ205234,HQ205237,HQ205238,HQ205240,HQ205241,HQ205243,HQ205244,HQ205245,HQ205247,HQ205248,HQ205249,HQ205251,HQ205252,HQ205255,HQ205258,HQ205261,HQ205262,HQ205263,HQ205264,HQ205265,KU178816,NM_001308164,NM_001308164.1,NM_001308166,NM_001308166.1,NM_024996,NM_024996.5,NP_001295093,NP_001295093.1,NP_001295095,NP_001295095.1,NP_079272,NP_079272.4,NX_Q96RP9,OMIM:606639,OTTHUMG00000158804,Q6GTN2,Q96RP9,Q96T39,R-HSA-392499,R-HSA-5368287,R-HSA-5389840,R-HSA-72766,UPI000006232D,UPI0000D4E3C6,UPI0000E5AA5A,UPI0001B78F61,UPI0001B796BD,UPI0001B796BE,URS00008C15E9,URS00008C31E4,URS0000EA2B8B,URS0000EA7A72,URS0000EB85F6,URS0000EBCECD,XM_006713795,XM_006713795.2,XP_006713858,XP_006713858.1,hEFG1,hsa:85476,mEF-G 1,mtEF-G1,uc003fce.4
GFM2	9606.ENSP00000427004	Ribosome-releasing factor 2, mitochondrial; Mitochondrial GTPase that mediates the disassembly of ribosomes from messenger RNA at the termination of mitochondrial protein biosynthesis. Acts in collaboration with MRRF. GTP hydrolysis follows the ribosome disassembly and probably occurs on the ribosome large subunit. Not involved in the GTP-dependent ribosomal translocation step during translation elongation.	https://smart.embl.de/smart/DDvec.cgi?smart=779:Pfam_GTP_EFTU(68|351)+Pfam_GTP_EFTU_D2(381|448)+Pfam_EFG_II(485|559)+EFG_IV(561|682)+EFG_C(684|771)+	84340,A0A024RAJ7,A0A024RAK1,A0AR28,AAH15712.1,AAH30612.1,AAK53401.1,AAL39010.1,AAS49035.1,AC093214,AF111808,AF367997,AK025314,AY453587,BAB15109.1,BC015712,BC030612,CCDS4023,CCDS4023.1,CCDS4024,CCDS4024.1,CCDS47232,CCDS47232.1,CH471084,D6RAL1,D6RF75,EAW95743.1,EAW95744.1,EAW95745.1,EAW95746.1,EAW95747.1,EF-G2mt,EFG2,ENSG00000164347,ENSP00000296804,ENSP00000296805,ENSP00000323817,ENSP00000340213,ENSP00000369890,ENSP00000369892,ENSP00000405808,ENSP00000421717,ENSP00000424877,ENSP00000427004,ENSP00000437810,ENST00000296804,ENST00000296805,ENST00000296805.7,ENST00000325452,ENST00000339389,ENST00000345239,ENST00000345239.6,ENST00000380519,ENST00000380521,ENST00000427854,ENST00000427854.6,ENST00000506263,ENST00000506263.1,ENST00000506778,ENST00000506778.1,ENST00000509097,ENST00000509097.1,ENST00000509430,ENST00000509430.5,ENST00000513331,ENST00000513331.1,ENST00000514734,ENST00000514734.5,ENST00000515125,ENST00000515125.5,ENST00000546082,Elongation factor G,Elongation factor G 2, mitochondrial,Elongation factor G2,FLJ21661,G elongation factor mitochondrial 2,GFM2,GFM2-201,GFM2-202,GFM2-203,GFM2-204,GFM2-205,GFM2-206,GFM2-207,GFM2-208,GFM2-209,GFM2-210,HGNC:29682,HPA036863,HPA069871,MRRF2,MST027,MSTP027,NM_001281302,NM_001281302.1,NM_001281302.2,NM_032380,NM_032380.4,NM_032380.5,NM_170681,NM_170681.2,NM_170691,NM_170691.2,NM_170691.3,NP_001268231,NP_001268231.1,NP_115756,NP_115756.2,NP_733781,NP_733781.1,NP_733792,NP_733792.1,NR_104006,NR_104006.2,NX_Q969S9,OMIM:606544,OTTHUMG00000102058,Q8N6D8,Q8WYI0,Q969S9,Q9H6Z1,R-HSA-392499,R-HSA-5368287,R-HSA-5419276,R-HSA-72766,RRF,RRF2,RRF2M_HUMAN,RRF2mt,Ribosome-releasing factor 2, mitochondrial,UPI000002A8C0,UPI0000071BF9,UPI0000129CA7,UPI0001891F10,UPI0001D3B40B,URS0000D6E1C6,URS0000D6E352,XM_011543691,XM_011543691.3,XM_017009986,XM_017009986.1,XP_011541993,XP_011541993.1,XP_016865475,XP_016865475.1,XR_002956185,XR_002956185.1,hEFG2,hsa:84340,mEF-G 2,mEF-G_2,ribosome releasing factor 2,uc003kdh.2
GLRX5	9606.ENSP00000328570	Glutaredoxin-related protein 5, mitochondrial; Monothiol glutaredoxin involved in the biogenesis of iron- sulfur clusters. Involved in protein lipoylation, acting in the pathway that provides an iron-sulfur cluster to lipoate synthase. Required for normal iron homeostasis. Required for normal regulation of hemoglobin synthesis by the iron- sulfur protein ACO1. May protect cells against apoptosis due to reactive oxygen species and oxidative stress (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=157:Pfam_Glutaredoxin(54|119)+	2MMZ,2WUL,51218,A0A384MDT9,AAH23528.2,AAH47680.1,AAZ30731.1,AB223038,ADO22336.1,AF113691,BAF02301.1,BC023528,BC047680,BX248075,C14orf87,CAD62364.1,CCDS9936,CCDS9936.1,CH471061,DQ083331,EAW81607.1,ENSG00000182512,ENSP00000328570,ENSP00000451800,ENST00000331334,ENST00000331334.4,ENST00000553672,ENST00000553672.1,ENST00000557731,ENST00000557731.1,FLB4739,GLRX5,GLRX5-201,GLRX5-202,GLRX5-203,GLRX5_HUMAN,GQ891474,GRX5,Glutaredoxin 5,Glutaredoxin-related protein 5, mitochondrial,H0YJM6,HGNC:20134,HPA042465,HPA063716,Monothiol glutaredoxin,Monothiol glutaredoxin-5,NM_016417,NM_016417.2,NM_016417.3,NP_057501,NP_057501.2,NX_Q86SX6,OMIM:609588,OTTHUMG00000171636,PR01238,PRO1238,PRSA,Q0X088,Q3YML0,Q86SX6,Q86WY3,Q8IZ54,R-HSA-1362409,R-HSA-1430728,SIDBA3,SPAHGC,UPI000000DC2E,UPI00021CF404,chromosome 14 open reading frame 87,glutaredoxin 5,glutaredoxin 5 homolog (S. cerevisiae),hsa:51218,uc001yem.2
GTPBP10	9606.ENSP00000222511	GTP-binding protein 10; May be involved in the ribosome maturation process. Complements an ObgE(CgtA) function in E.coli ribosome maturation. Plays a role of GTPase in vitro. When missing, disorganization of the nucleolar architecture is observed; Belongs to the TRAFAC class OBG-HflX-like GTPase superfamily. OBG GTPase family.	https://smart.embl.de/smart/DDvec.cgi?smart=387:Pfam_GTP1_OBG(16|142)+Pfam_MMR_HSR1(150|279)+	85865,A4D1E9,AAD15550.2,AAH04923.3,AAH21573.2,AAI07715.1,AAN76513.1,AC002064,AC006153,AF351613,AK095561,AK294325,B4DFY6,BAC04573.1,BAG57597.1,BC004923,BC021573,BC107714,C9J8R7,C9JEQ8,C9JNI1,CAI45922.1,CCDS43614,CCDS43614.1,CCDS5617,CCDS5617.1,CH236949,CH471091,CR933597,DKFZP686A10121,EAL24164.1,EAW76880.1,EAW76882.1,ENSG00000105793,ENSP00000222511,ENSP00000257659,ENSP00000331802,ENSP00000343188,ENSP00000369398,ENSP00000389510,ENSP00000405697,ENSP00000410311,ENSP00000411091,ENSP00000416596,ENSP00000416713,ENST00000222511,ENST00000222511.10,ENST00000257659,ENST00000257659.12,ENST00000331176,ENST00000343209,ENST00000380058,ENST00000380058.7,ENST00000417207,ENST00000417207.5,ENST00000421719,ENST00000421719.5,ENST00000426366,ENST00000426366.5,ENST00000439832,ENST00000439832.5,ENST00000450619,ENST00000450619.5,ENST00000453512,ENST00000453512.5,ENST00000469675,ENST00000469675.1,ENST00000474503,ENST00000474503.1,ENST00000477972,ENST00000477972.1,F8WBB5,F8WBY0,F8WCN4,FLJ38242,GTP binding protein 10,GTP-binding protein 10,GTP-binding protein 10 (putative),GTPBA_HUMAN,GTPBP10,GTPBP10-201,GTPBP10-202,GTPBP10-203,GTPBP10-204,GTPBP10-205,GTPBP10-206,GTPBP10-207,GTPBP10-208,GTPBP10-209,GTPBP10-210,GTPBP10-211,GTPBP10-212,HGNC:25106,HPA021076,NM_001042717,NM_001042717.2,NM_001042717.3,NM_033107,NM_033107.3,NM_033107.4,NP_001036182,NP_001036182.1,NP_149098,NP_149098.2,NR_110085,NR_110085.1,NX_A4D1E9,OBGH2,OMIM:610920,OTTHUMG00000023655,ObgH2,Protein obg homolog 2,Q3B7A6,Q5H9V2,Q8IXG8,Q8N982,Q8WU16,Q9BSP1,Q9Y6T6,UG0751c10,UPI00001AFDF5,UPI00003674D7,UPI0000D61C82,UPI0000E5ADB4,UPI0000E5ADB5,UPI0001610D80,UPI0001610D81,UPI0001610D82,UPI0003F47DEC,URS00008C1FD4,hsa:85865,uc003ukm.3
GTPBP8	9606.ENSP00000373176	GTP binding protein 8.	https://smart.embl.de/smart/DDvec.cgi?smart=284:Pfam_FeoB_N(111|254)+	29083,A0A087WUP3,A6NE99,A6NN11,A8K0P6,AAH37163.1,AC074044,AK289611,AK292651,BAF82300.1,BAF85340.1,BC010137,BC037163,C9J0K3,C9J8V5,CCDS33820,CCDS33820.1,CCDS33821,CCDS33821.1,CH471052,EAW79652.1,EAW79654.1,EAW79655.1,ENSG00000163607,ENSP00000295864,ENSP00000303802,ENSP00000325627,ENSP00000373174,ENSP00000373175,ENSP00000373176,ENSP00000417632,ENSP00000418261,ENSP00000418514,ENSP00000418877,ENSP00000420032,ENSP00000478184,ENSP00000478813,ENST00000295864,ENST00000295864.9,ENST00000305485,ENST00000320397,ENST00000383676,ENST00000383677,ENST00000383677.7,ENST00000383678,ENST00000383678.6,ENST00000467752,ENST00000467752.5,ENST00000471627,ENST00000473129,ENST00000473129.1,ENST00000485330,ENST00000485330.5,ENST00000488781,ENST00000488781.5,ENST00000618381,ENST00000619116,ENST00000619116.4,F8WBY6,GTP binding protein 8,GTP binding protein 8 (putative),GTP-binding protein 8,GTP-binding protein 8 (putative),GTPB8_HUMAN,GTPBP8,GTPBP8-201,GTPBP8-202,GTPBP8-203,GTPBP8-204,GTPBP8-205,GTPBP8-206,GTPBP8-207,GTPBP8-208,HGNC:25007,HPA034831,HPA058631,HSPC135,NM_014170,NM_014170.2,NM_014170.4,NM_138485,NM_138485.1,NP_054889,NP_054889.2,NP_612494,NP_612494.1,NX_Q8N3Z3,OTTHUMG00000159268,Q5I0Y4,Q8N3Z3,UPI000006D700,UPI00000732BA,UPI0000209F64,UPI0000E5A85A,UPI0001B7956D,UPI0001B7956E,UPI0004E4CC59,hsa:29083,uc003dzn.4
HARS2	9606.ENSP00000494965	Histidine--tRNA ligase, mitochondrial; Mitochondrial aminoacyl-tRNA synthetase that catalyzes the ATP-dependent ligation of histidine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (His-AMP).	https://smart.embl.de/smart/DDvec.cgi?smart=512:Pfam_tRNA-synt_His(68|396)+Pfam_HGTP_anticodon(417|508)+	23438,6.1.1.21,A0A2R8Y3N3,A0A2R8Y4X6,A0A2R8Y5E8,A0A2R8Y5P7,A0A2R8Y6I1,AAA73972.1,AAA73974.1,AAH07680.1,AAH14982.1,AC116353,AK293390,AK298661,B4DDY8,B4DQ67,BAG56899.1,BAG60829.1,BC007680,BC014982,CCDS4238,CCDS4238.1,CCDS64267,CCDS64267.1,CCDS87329,CCDS87329.1,CCDS87330,CCDS87330.1,CH471062,D6R9M5,D6RB22,D6RJE6,EAW62019.1,EC 6.1.1.21,ENSG00000112855,ENSP00000230771,ENSP00000352741,ENSP00000387818,ENSP00000393321,ENSP00000394786,ENSP00000407105,ENSP00000411708,ENSP00000412887,ENSP00000415007,ENSP00000423530,ENSP00000423616,ENSP00000424516,ENSP00000425695,ENSP00000429220,ENSP00000493571,ENSP00000493630,ENSP00000494140,ENSP00000494296,ENSP00000494569,ENSP00000494742,ENSP00000494965,ENSP00000495350,ENSP00000496011,ENST00000230771,ENST00000359710,ENST00000412045,ENST00000419246,ENST00000427675,ENST00000432671,ENST00000435019,ENST00000437649,ENST00000448069,ENST00000448069.2,ENST00000502303,ENST00000502303.5,ENST00000503873,ENST00000503873.6,ENST00000506318,ENST00000506318.1,ENST00000508522,ENST00000508522.5,ENST00000509299,ENST00000509299.6,ENST00000510104,ENST00000510104.5,ENST00000511913,ENST00000511913.6,ENST00000513688,ENST00000513688.1,ENST00000513912,ENST00000513912.1,ENST00000520095,ENST00000520095.6,ENST00000642231,ENST00000642231.1,ENST00000642452,ENST00000642452.1,ENST00000642752,ENST00000642752.1,ENST00000642970,ENST00000642970.1,ENST00000643996,ENST00000643996.1,ENST00000645065,ENST00000645065.1,ENST00000645749,ENST00000645749.1,ENST00000646468,ENST00000646468.1,ENST00000647484,ENST00000647484.1,HARS2,HARS2-201,HARS2-202,HARS2-203,HARS2-204,HARS2-205,HARS2-206,HARS2-207,HARS2-208,HARS2-209,HARS2-210,HARS2-211,HARS2-212,HARS2-213,HARS2-214,HARS2-215,HARS2-216,HARS2-217,HARS2-218,HARS2-219,HARS2-220,HARSL,HARSR,HGNC:4817,HO3,HPA035941,HisRS,Histidine--tRNA ligase, mitochondrial,Histidine--tRNA ligase-like,Histidyl-tRNA synthetase,Histidyl-tRNA synthetase 2, mitochondrial,NM_001278731,NM_001278731.1,NM_001278731.2,NM_001278732,NM_001278732.1,NM_001278732.2,NM_001363535,NM_001363535.2,NM_001363536,NM_001363536.2,NM_012208,NM_012208.3,NM_012208.4,NP_001265660,NP_001265660.1,NP_001265661,NP_001265661.1,NP_001350464,NP_001350464.1,NP_001350465,NP_001350465.1,NP_036340,NP_036340.1,NX_P49590,OMIM:600783,OTTHUMG00000129500,P49590,PRLTS2,R-HSA-379724,R-HSA-379726,R-HSA-392499,R-HSA-72766,SYHM_HUMAN,U18936,U18937,UPI00001364C4,UPI0000E20B31,UPI0000EE34B3,UPI00017A793F,UPI0001D3B931,UPI0005123748,UPI0007DB9031,UPI000D18C3C7,UPI000D18E616,UPI000D190E8D,UPI000D193992,URS00008C0B93,URS00008C0CAB,URS0000CF75E8,XM_017009288,XM_017009288.1,XM_017009289,XM_017009289.1,XM_017009290,XM_017009290.2,XM_017009291,XM_017009291.1,XM_017009292,XM_017009292.1,XP_016864777,XP_016864777.1,XP_016864778,XP_016864778.1,XP_016864779,XP_016864779.1,XP_016864780,XP_016864780.1,XP_016864781,XP_016864781.1,histidyl-tRNA synthetase 2, mitochondrial,histidyl-tRNA synthetase-like,hsa:23438,uc003lgx.5
HSD17B10	9606.ENSP00000168216	3-hydroxyacyl-CoA dehydrogenase type-2; Mitochondrial dehydrogenase that catalyzes the beta-oxidation at position 17 of androgens and estrogens and has 3-alpha- hydroxysteroid dehydrogenase activity with androsterone. Catalyzes the third step in the beta-oxidation of fatty acids. Carries out oxidative conversions of 7-alpha-OH and 7-beta-OH bile acids. Also exhibits 20-beta-OH and 21-OH dehydrogenase activities with C21 steroids. By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction associated with Alzheimer disease (AD). Essential for structural [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=261:Pfam_KR(12|175)+	1.1.1.178,1.1.1.35,1.1.1.51,17-beta-HSD 10,17-beta-hydroxysteroid dehydrogenase 10,17b-HSD10,1F67,1SO8,1U7T,2-methyl-3-hydroxybutyryl-CoA dehydrogenase,2O23,3-hydroxy-2-methylbutyryl-CoA dehydrogenase,3-hydroxyacyl-CoA dehydrogenase type II,3-hydroxyacyl-CoA dehydrogenase type-2,3028,A0A0S2Z410,AAB68958.1,AAC15902.1,AAC16419.1,AAC39900.1,AAC51812.1,AAH00372.1,AAH08708.1,AAM18189.1,AB-binding alcohol dehydrogenase,ABAD,AC233728,ADO22346.1,AF035555,AF037438,AF069134,ALQ33565.1,AY092415,BC000372,BC008708,CAG33004.1,CAI42651.1,CAI42652.1,CAI42653.1,CAMR,CCDS14354,CCDS14354.1,CCDS35300,CCDS35300.1,CH471154,CHEMBL4159,CR456723,DUPXp11.22,EAW93157.1,EAW93158.1,EC 1.1.1.178,EC 1.1.1.35,ENSG00000072506,ENSP00000168216,ENSP00000364446,ENSP00000364447,ENSP00000364450,ENSP00000364453,ENST00000168216,ENST00000168216.10,ENST00000375297,ENST00000375298,ENST00000375298.4,ENST00000375301,ENST00000375304,ENST00000375304.9,ENST00000477706,ENST00000477706.1,ENST00000495986,ENST00000495986.1,ERAB,GQ891484,HADH2,HCD2,HCD2_HUMAN,HGNC:4800,HPA001432,HSD10MD,HSD17B10,HSD17B10-201,HSD17B10-202,HSD17B10-203,HSD17B10-204,HSD17B10-205,Hydroxysteroid 17-beta dehydrogenase 10,KU178107,LRG_450,LRG_450t1,LRG_450t2,MHBD,MRPP2,MRX17,MRX31,MRXS10,Mitochondrial RNase P protein 2,Mitochondrial ribonuclease P protein 2,NM_001037811,NM_001037811.2,NM_004493,NM_004493.2,NM_004493.3,NP_001032900,NP_001032900.1,NP_004484,NP_004484.1,NX_Q99714,OMIM:300256,OTTHUMG00000021612,Q5H927,Q5H928,Q6IBS9,Q8TCV9,Q96HD5,Q99714,R-HSA-1430728,R-HSA-6785470,R-HSA-6787450,R-HSA-70895,R-HSA-71291,R-HSA-72306,R-HSA-72312,R-HSA-8868766,R-HSA-8953854,SCHAD,SDR5C1,Short-chain type dehydrogenase/reductase XH98G2,Type II HADH,U73514,U96132,UPI0000036BD7,UPI0000073799,UPI00004A3B86,URS0000D6E45B,XH98G2,Z97054,hsa:3028,hydroxysteroid (17-beta) dehydrogenase 10,hydroxysteroid 17-beta dehydrogenase 10,mental retardation, X-linked, syndromic 10,mitochondrial RNase P subunit 2,type 10 17b-HSD,type 10 17beta-hydroxysteroid dehydrogenase,uc004dsl.2
HSPA14	9606.ENSP00000367623	Heat shock 70 kDa protein 14; Component of the ribosome-associated complex (RAC), a complex involved in folding or maintaining nascent polypeptides in a folding- competent state. In the RAC complex, binds to the nascent polypeptide chain, while DNAJC2 stimulates its ATPase activity. Belongs to the heat shock protein 70 family.	https://smart.embl.de/smart/DDvec.cgi?smart=509:Pfam_MreB_Mbl(106|374)+	51182,A8K8F8,AAF17198.1,AAF66640.1,AAI19691.1,AC069544,ACA05969.1,ACA05970.1,AF112210,AF143723,AK292323,B0YIY9,BAF85012.1,BC119690,CCDS60487,CCDS7103,CCDS7103.1,CH471072,EAW86258.1,EF444968,ENSG00000187522,ENSP00000265923,ENSP00000309384,ENSP00000367599,ENSP00000367623,ENSP00000390513,ENSP00000404691,ENST00000265923,ENST00000309584,ENST00000378348,ENST00000378372,ENST00000378372.7,ENST00000437161,ENST00000441647,ENST00000441647.1,ENST00000470430,ENST00000470430.1,ENST00000493178,ENST00000493863,H7C2A1,HGNC:29526,HPA046180,HSP60,HSP70-4,HSP70-like protein 1,HSP70L1,HSP7E_HUMAN,HSPA14,HSPA14-201,HSPA14-202,HSPA14-203,Heat shock 70 kDa protein 14,Heat shock protein HSP60,Heat shock protein family A (Hsp70) member 14,NM_016299,NM_016299.3,NM_016299.4,NP_057383,NP_057383.2,NX_Q0VDF9,OMIM:610369,OTTHUMG00000191882,Q0VDF9,Q9P0X2,Q9UI07,R-HSA-2262752,R-HSA-3371453,R-HSA-3371556,R-HSA-8953897,UPI000013D6A8,UPI000059D111,URS0000EB780F,heat shock 70kDa protein 14,heat shock protein family A member 14,hsa:51182,uc001inf.5
IBA57	9606.ENSP00000355672	Putative transferase CAF17, mitochondrial; Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway.	https://smart.embl.de/smart/DDvec.cgi?smart=356:Pfam_GCV_T_C(258|350)+	2.1.-.-,200205,6GEU,6QE3,6QE4,AK022796,AL359510,C1orf69,CAF17_HUMAN,CCDS31046,CCDS31046.1,EC 2.1.-.-,ENSG00000181873,ENSP00000317297,ENSP00000355672,ENSP00000437347,ENST00000325957,ENST00000366711,ENST00000366711.3,ENST00000484749,ENST00000484749.5,ENST00000546123,ENST00000546123.2,FLJ12734,HGNC:27302,HPA030555,HPA030556,HPA030557,IBA57,IBA57 homolog, iron-sulfur cluster assembly,IBA57-201,IBA57-202,IBA57-203,Iron-sulfur cluster assembly factor IBA57,Iron-sulfur cluster assembly factor homolog,MMDS3,NM_001010867,NM_001010867.3,NM_001010867.4,NM_001310327,NM_001310327.2,NP_001010867,NP_001010867.1,NP_001297256,NP_001297256.1,NX_Q5T440,OMIM:615316,OTTHUMG00000039769,Putative transferase CAF17, mitochondrial,Q5T440,SPG74,Transferase CAF17, mitochondrial,UPI0000160A21,chromosome 1 open reading frame 69,hsa:200205,iron-sulfur cluster assembly factor IBA57,uc001hsl.5
LARS2	9606.ENSP00000498867	Probable leucine--tRNA ligase, mitochondrial; leucyl-tRNA synthetase 2, mitochondrial.	https://smart.embl.de/smart/DDvec.cgi?smart=903:Pfam_tRNA-synt_1(58|435)+Pfam_tRNA-synt_1g(587|683)+Pfam_Anticodon_1(725|867)+	23395,6.1.1.4,A0A2R8Y581,A0A494C1E0,A0A494C1K2,A0A499FJL2,AAH25989.1,AC006515,AC092500,AC099539,AJ312685,BAA04877.2,BC025989,C9JYR8,CCDS2728,CCDS2728.1,CHEMBL4105806,D21851,E9PHM2,EC 6.1.1.4,ENSG00000011376,ENSP00000265537,ENSP00000345887,ENSP00000401388,ENSP00000406611,ENSP00000408576,ENSP00000412893,ENSP00000494606,ENSP00000495093,ENSP00000495707,ENSP00000498867,ENSP00000499002,ENSP00000499104,ENST00000265537,ENST00000344349,ENST00000414984,ENST00000414984.5,ENST00000415258,ENST00000415258.5,ENST00000430399,ENST00000430399.1,ENST00000431023,ENST00000431023.6,ENST00000467936,ENST00000467936.5,ENST00000474585,ENST00000474585.1,ENST00000485461,ENST00000485461.1,ENST00000642274,ENST00000642274.1,ENST00000645846,ENST00000645846.1,ENST00000650792,ENST00000651549,ENST00000652135,HGNC:17095,HLASA,HPA035951,HPA045450,HPA066085,KF457627,KIAA0028,LARS2,LARS2-201,LARS2-202,LARS2-203,LARS2-204,LARS2-205,LARS2-206,LARS2-207,LARS2-208,LARS2-209,LARS2-210,LARS2-211,LARS2-212,LEURS,LeuRS,Leucyl-tRNA synthetase,Leucyl-tRNA synthetase 2, mitochondrial,MGC26121,NM_001368263,NM_001368263.1,NM_015340,NM_015340.3,NM_015340.4,NP_001355192,NP_001355192.1,NP_056155,NP_056155.1,NX_Q15031,OMIM:604544,OTTHUMG00000133177,PRLTS4,Probable leucine--tRNA ligase, mitochondrial,Q15031,R-HSA-379724,R-HSA-379726,R-HSA-392499,R-HSA-72766,SYLM_HUMAN,UPI0000001297,UPI0001891B40,UPI000198CADB,UPI000D18DD7A,UPI00108896E8,UPI001088B28C,UPI00108AA83E,URS00008C2C93,URS0000EB3559,XM_005265006.1,XM_011533554,XM_011533554.2,XM_017006042,XM_017006042.1,XP_005265063.1,XP_011531856,XP_011531856.1,XP_016861531,XP_016861531.1,hsa:23395,leucine tRNA ligase 2, mitochondrial,leucyl-tRNA synthetase 2, mitochondrial,mtLeuRS,uc003cop.2,uc062ixh.1
