#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	2	Brown	14	GATB	9606.ENSP00000263985	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatB/GatE family. GatB subfamily.
MCL	2	Brown	14	HARS2	9606.ENSP00000494965	Histidine--tRNA ligase, mitochondrial; Mitochondrial aminoacyl-tRNA synthetase that catalyzes the ATP-dependent ligation of histidine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (His-AMP).
MCL	2	Brown	14	LARS2	9606.ENSP00000498867	Probable leucine--tRNA ligase, mitochondrial; leucyl-tRNA synthetase 2, mitochondrial.
MCL	2	Brown	14	MARS2	9606.ENSP00000282276	Methionine--tRNA ligase, mitochondrial; methionyl-tRNA synthetase 2, mitochondrial.
MCL	2	Brown	14	MTO1	9606.ENSP00000402038	Protein MTO1 homolog, mitochondrial; Involved in the 5-carboxymethylaminomethyl modification (mnm(5)s(2)U34) of the wobble uridine base in mitochondrial tRNAs. Belongs to the MnmG family.
MCL	2	Brown	14	NARS2	9606.ENSP00000281038	Probable asparagine--tRNA ligase, mitochondrial; asparaginyl-tRNA synthetase 2, mitochondrial; Belongs to the class-II aminoacyl-tRNA synthetase family.
MCL	2	Brown	14	POLG2	9606.ENSP00000442563	DNA polymerase subunit gamma-2, mitochondrial; Mitochondrial polymerase processivity subunit. Stimulates the polymerase and exonuclease activities, and increases the processivity of the enzyme. Binds to ss-DNA.
MCL	2	Brown	14	SARS2	9606.ENSP00000472847	Serine--tRNA ligase, mitochondrial; Catalyzes the attachment of serine to tRNA(Ser). Is also probably able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec).
MCL	2	Brown	14	WARS2	9606.ENSP00000235521	Tryptophan--tRNA ligase, mitochondrial; Mitochondrial aminoacyl-tRNA synthetase that activate and transfer the amino acids to their corresponding tRNAs during the translation of mitochondrial genes and protein synthesis.
MCL	3	Dark Golden Rod	6	ADAT2	9606.ENSP00000237283	tRNA-specific adenosine deaminase 2; Probably participates in deamination of adenosine-34 to inosine in many tRNAs.
MCL	3	Dark Golden Rod	6	DOHH	9606.ENSP00000398882	Deoxyhypusine hydroxylase; Catalyzes the hydroxylation of the N(6)-(4-aminobutyl)-L- lysine intermediate produced by deoxyhypusine synthase/DHPS on a critical lysine of the eukaryotic translation initiation factor 5A/eIF- 5A. This is the second step of the post-translational modification of that lysine into an unusual amino acid residue named hypusine. Hypusination is unique to mature eIF-5A factor and is essential for its function (By similarity).
MCL	3	Dark Golden Rod	6	HSD17B10	9606.ENSP00000168216	3-hydroxyacyl-CoA dehydrogenase type-2; Mitochondrial dehydrogenase that catalyzes the beta-oxidation at position 17 of androgens and estrogens and has 3-alpha- hydroxysteroid dehydrogenase activity with androsterone. Catalyzes the third step in the beta-oxidation of fatty acids. Carries out oxidative conversions of 7-alpha-OH and 7-beta-OH bile acids. Also exhibits 20-beta-OH and 21-OH dehydrogenase activities with C21 steroids. By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction associated with Alzheimer disease (AD). Essential for structural [...] 
MCL	3	Dark Golden Rod	6	METTL1	9606.ENSP00000314441	tRNA (guanine-N(7)-)-methyltransferase; Methyltransferase that mediates the formation of N(7)- methylguanine in a subset of RNA species, such as tRNAs, mRNAs and microRNAs (miRNAs). Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA. Also acts as a methyltransferase for a subset of internal N(7)-methylguanine in mRNAs. Internal N(7)-methylguanine methylation of mRNAs regulates translation. Also methylates a specific subset of miRNAs, such as let-7. N(7)-methylguanine methylation of let-7 miRNA promotes let-7 miRNA processing by disrupting an inhibitory seconda [...] 
MCL	3	Dark Golden Rod	6	N6AMT1	9606.ENSP00000303584	Methyltransferase N6AMT1; Methyltransferase that can methylate both proteins and DNA, and to a lower extent, arsenic. Catalytic subunit of a heterodimer with TRMT112, which catalyzes N5-methylation of Glu residue of proteins with a Gly- Gln-Xaa-Xaa-Xaa-Arg motif  (By similarity). Methylates ETF1 on 'Gln-185'; ETF1 needs to be complexed to ERF3 in its GTP-bound form to be efficiently methylated. Also acts as a N(6)-adenine-specific DNA methyltransferase by mediating methylation of DNA on the 6th position of adenine (N(6)- methyladenosine). N(6)-methyladenosine (m6A) DNA is significantly [...] 
MCL	3	Dark Golden Rod	6	TRMT61A	9606.ENSP00000374399	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A; Catalytic subunit of tRNA (adenine-N(1)-)-methyltransferase, which catalyzes the formation of N(1)-methyladenine at position 58 (m1A58) in initiator methionyl-tRNA. Catalytic subunit of mRNA N(1)-methyltransferase complex, which mediates methylation of adenosine residues at the N(1) position of a small subset of mRNAs: N(1) methylation takes place in tRNA T-loop-like structures of mRNAs and is only present at low stoichiometries ; Belongs to the class I-like SAM-binding methyltransferase superfamily. TRM61 family.
MCL	4	Yellow	6	COQ3	9606.ENSP00000254759	Ubiquinone biosynthesis O-methyltransferase, mitochondrial; O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway.
MCL	4	Yellow	6	COQ6	9606.ENSP00000333946	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial; FAD-dependent monooxygenase required for the C5-ring hydroxylation during ubiquinone biosynthesis. Catalyzes the hydroxylation of 3-hexaprenyl-4-hydroxybenzoic acid (HHB) to 3- hexaprenyl-4,5-dihydroxybenzoic acid (DHHB). The electrons required for the hydroxylation reaction may be funneled indirectly from NADPH via a ferredoxin/ferredoxin reductase system to COQ6 (By similarity). Is able to perform the deamination reaction at C4 of 3-hexaprenyl-4-amino-5- hydroxybenzoic acid (HHAB) to produce DHHB when expressed in yeast cells [...] 
MCL	4	Yellow	6	COQ7	9606.ENSP00000322316	5-demethoxyubiquinone hydroxylase, mitochondrial; Catalyzes the hydroxylation of 2-polyprenyl-3-methyl-6- methoxy-1,4-benzoquinol (DMQH2) during ubiquinone biosynthesis. Has also a structural role in the COQ enzyme complex, stabilizing other COQ polypeptides. Involved in lifespan determination in a ubiquinone- independent manner.
MCL	4	Yellow	6	MIPEP	9606.ENSP00000371607	Mitochondrial intermediate peptidase; Cleaves proteins, imported into the mitochondrion, to their mature size.
MCL	4	Yellow	6	NDUFAF6	9606.ENSP00000379430	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6; Involved in the assembly of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I) at early stages. May play a role in the biogenesis of MT-ND1.
MCL	4	Yellow	6	PDSS2	9606.ENSP00000358033	Decaprenyl-diphosphate synthase subunit 2; Supplies decaprenyl diphosphate, the precursor for the side chain of the isoprenoid quinones ubiquinone-10.
MCL	5	Green	6	FDXR	9606.ENSP00000416515	NADPH:adrenodoxin oxidoreductase, mitochondrial; Serves as the first electron transfer protein in all the mitochondrial P450 systems including cholesterol side chain cleavage in all steroidogenic tissues, steroid 11-beta hydroxylation in the adrenal cortex, 25-OH-vitamin D3-24 hydroxylation in the kidney, and sterol C- 27 hydroxylation in the liver.
MCL	5	Green	6	GLRX5	9606.ENSP00000328570	Glutaredoxin-related protein 5, mitochondrial; Monothiol glutaredoxin involved in the biogenesis of iron- sulfur clusters. Involved in protein lipoylation, acting in the pathway that provides an iron-sulfur cluster to lipoate synthase. Required for normal iron homeostasis. Required for normal regulation of hemoglobin synthesis by the iron- sulfur protein ACO1. May protect cells against apoptosis due to reactive oxygen species and oxidative stress (By similarity).
MCL	5	Green	6	IBA57	9606.ENSP00000355672	Putative transferase CAF17, mitochondrial; Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway.
MCL	5	Green	6	LIPT1	9606.ENSP00000377115	Lipoyltransferase 1, mitochondrial; Catalyzes the transfer of the lipoyl group from lipoyl-AMP to the specific lysine residue of lipoyl domains of lipoate-dependent enzymes; Belongs to the LplA family.
MCL	5	Green	6	LIPT2	9606.ENSP00000309463	Putative lipoyltransferase 2, mitochondrial; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate- dependent enzymes, which catalyze essential redox reactions. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity); Belongs to the LipB family.
MCL	5	Green	6	NFU1	9606.ENSP00000387219	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial; Iron-sulfur cluster scaffold protein which can assemble [4Fe- 4S] clusters and deliver them to target proteins. Belongs to the NifU family.
MCL	6	Light Green	5	COA6	9606.ENSP00000355574	Cytochrome c oxidase assembly factor 6 homolog; Involved in the maturation of the mitochondrial respiratory chain complex IV subunit MT-CO2/COX2. Thereby, may regulate early steps of complex IV assembly. Mitochondrial respiratory chain complex IV or cytochrome c oxidase is the component of the respiratory chain that catalyzes the transfer of electrons from intermembrane space cytochrome c to molecular oxygen in the matrix and as a consequence contributes to the proton gradient involved in mitochondrial ATP synthesis. May also be required for efficient formation of respiratory supercomp [...] 
MCL	6	Light Green	5	COA7	9606.ENSP00000360593	Cytochrome c oxidase assembly factor 7; Required for assembly of mitochondrial respiratory chain complex I and complex IV; Belongs to the hcp beta-lactamase family.
MCL	6	Light Green	5	GATC	9606.ENSP00000446872	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatC family.
MCL	6	Light Green	5	PET117	9606.ENSP00000397881	Protein PET117 homolog, mitochondrial; PET117 cytochrome c oxidase chaperone.
MCL	6	Light Green	5	SCO2	9606.ENSP00000444433	Protein SCO2 homolog, mitochondrial; Copper metallochaperone essential for the synthesis and maturation of cytochrome c oxidase subunit II (MT-CO2/COX2). Involved in transporting copper to the Cu(A) site on MT-CO2/COX2. Also acts as a thiol-disulfide oxidoreductase to regulate the redox state of the cysteines in SCO1 during maturation of MT-CO2/COX2.
MCL	7	Lime Green	3	PGK1	9606.ENSP00000362413	Phosphoglycerate kinase 1; Catalyzes one of the two ATP producing reactions in the glycolytic pathway via the reversible conversion of 1,3- diphosphoglycerate to 3-phosphoglycerate. In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein). May play a role in sperm motility.
MCL	7	Lime Green	3	PPA2	9606.ENSP00000343885	Inorganic pyrophosphatase 2, mitochondrial; Hydrolyzes inorganic pyrophosphate. This activity is essential for correct regulation of mitochondrial membrane potential, and mitochondrial organization and function ; Belongs to the PPase family.
MCL	7	Lime Green	3	TPI1	9606.ENSP00000229270	Triosephosphate isomerase; Triosephosphate isomerase is an extremely efficient metabolic enzyme that catalyzes the interconversion between dihydroxyacetone phosphate (DHAP) and D-glyceraldehyde-3-phosphate (G3P) in glycolysis and gluconeogenesis.
MCL	8	Cyan	3	DNLZ	9606.ENSP00000360803	DNL-type zinc finger protein; May function as a co-chaperone towards HSPA9/mortalin which, by itself, is prone to self-aggregation.
MCL	8	Cyan	3	TIMM10	9606.ENSP00000257245	Mitochondrial import inner membrane translocase subunit Tim10; Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. May also be required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. Belongs to the small Tim family.
MCL	8	Cyan	3	TOMM70	9606.ENSP00000284320	Mitochondrial import receptor subunit TOM70; Receptor that accelerates the import of all mitochondrial precursor proteins.
MCL	9	Dark Cyan	3	AASDHPPT	9606.ENSP00000278618	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase; Catalyzes the post-translational modification of target proteins by phosphopantetheine. Can transfer the 4'-phosphopantetheine moiety from coenzyme A to a serine residue of a broad range of acceptors, such as the acyl carrier domain of FASN.
MCL	9	Dark Cyan	3	MCAT	9606.ENSP00000290429	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial; Catalyzes the transfer of a malonyl moiety from malonyl-CoA to the free thiol group of the phosphopantetheine arm of the mitochondrial ACP protein (NDUFAB1). This suggests the existence of the biosynthesis of fatty acids in mitochondria.
MCL	9	Dark Cyan	3	OXSM	9606.ENSP00000280701	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial; May play a role in the biosynthesis of lipoic acid as well as longer chain fatty acids required for optimal mitochondrial function. Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family.
MCL	10	Blue	2	TXN2	9606.ENSP00000216185	Thioredoxin, mitochondrial; Important for the control of mitochondrial reactive oxygen species homeostasis, apoptosis regulation and cell viability. Possesses a dithiol-reducing activity; Belongs to the thioredoxin family.
MCL	10	Blue	2	UQCR10	9606.ENSP00000332887	Cytochrome b-c1 complex subunit 9; Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inn [...] 
MCL	11	Purple	2	POLG	9606.ENSP00000399851	DNA polymerase subunit gamma-1; Involved in the replication of mitochondrial DNA. Associates with mitochondrial DNA; Belongs to the DNA polymerase type-A family.
MCL	11	Purple	2	TWNK	9606.ENSP00000309595	Twinkle protein, mitochondrial; Involved in mitochondrial DNA (mtDNA) metabolism. Could function as an adenine nucleotide-dependent DNA helicase. Function inferred to be critical for lifetime maintenance of mtDNA integrity. In vitro, forms in combination with POLG, a processive replication machinery, which can use double-stranded DNA (dsDNA) as template to synthesize single-stranded DNA (ssDNA) molecules. May be a key regulator of mtDNA copy number in mammals.
MCL	12	Pink	2	BCS1L	9606.ENSP00000413908	Mitochondrial chaperone BCS1; Chaperone necessary for the assembly of mitochondrial respiratory chain complex III. Plays an important role in the maintenance of mitochondrial tubular networks, respiratory chain assembly and formation of the LETM1 complex.
MCL	12	Pink	2	FOXRED1	9606.ENSP00000263578	FAD-dependent oxidoreductase domain-containing protein 1; Required for the assembly of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I). Involved in mid-late stages of complex I assembly.
