#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	23	Nme2	10090.ENSMUSP00000021217	Nucleoside diphosphate kinase B; Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity). Negatively regulates Rho activity by interacting with AKAP13/LBC. Acts as a transcriptional activator of the MYC gene; binds DNA non-specifically. Binds to both single-stranded guanine- and cytosine-rich strands within the nuclease hypersensitive element (NHE) III(1) region of the MYC gene promoter. Does not bind to duplex NHE I [...] 
MCL	1	Red	23	Rbfa	10090.ENSMUSP00000025462	Putative ribosome-binding factor A, mitochondrial.
MCL	1	Red	23	Rpusd4	10090.ENSMUSP00000034543	Mitochondrial RNA pseudouridine synthase Rpusd4; Catalyzes uridine to pseudouridine isomerization (pseudouridylation) of different mitochondrial RNA substrates. Acts on position 1397 in 16S mitochondrial ribosomal RNA (16S mt-rRNA). This modification is required for the assembly of 16S mt-rRNA into a functional mitochondrial ribosome. Acts on position 39 in mitochondrial tRNA(Phe). As a component of a functional protein-RNA module, consisting of RCC1L, NGRN, RPUSD3, RPUSD4, TRUB2, FASTKD2 and 16S mt- rRNA, controls 16S mt-rRNA abundance and is required for intra- mitochondrial translation.
MCL	2	Brown	9	Dlst	10090.ENSMUSP00000060346	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase); Dihydrolipoamide succinyltransferase (E2) component of the 2- oxoglutarate dehydrogenase complex (By similarity). The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2- oxoglutarate to succinyl-CoA and CO(2) (By similarity). The 2- oxoglutarate dehydrogenase complex is mainly active in the mitochondrion. A fraction of the 2-oxoglutarate dehydrogenase complex also localizes in the nucleus and is required for lysine succinylation of histones: associates with KAT2A on chromatin and p [...] 
MCL	2	Brown	9	Fh1	10090.ENSMUSP00000027810	Fumarate hydratase, mitochondrial; Catalyzes the reversible stereospecific interconversion of fumarate to L-malate. Experiments in different species have demonstrated that specific isoforms of this protein act in defined pathways and favor one direction over the other (Probable).  [Isoform Cytoplasmic]: Catalyzes the dehydration of L-malate to fumarate. Fumarate metabolism in the cytosol plays a role during urea cycle and arginine metabolism; fumarate being a by- product of the urea cycle and amino-acid catabolism. Also plays a role in DNA repair by promoting non-homologous end-joining [...] 
MCL	2	Brown	9	G6pdx	10090.ENSMUSP00000004327	Glucose-6-phosphate 1-dehydrogenase X; Cytosolic glucose-6-phosphate dehydrogenase that catalyzes the first and rate-limiting step of the oxidative branch within the pentose phosphate pathway/shunt, an alternative route to glycolysis for the dissimilation of carbohydrates and a major source of reducing power and metabolic intermediates for fatty acid and nucleic acid biosynthetic processes.
MCL	2	Brown	9	Mdh2	10090.ENSMUSP00000019323	Malate dehydrogenase, mitochondrial.
MCL	2	Brown	9	Sdha	10090.ENSMUSP00000022062	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial; Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q). Can act as a tumor suppressor. Belongs to the FAD-dependent oxidoreductase 2 family. FRD/SDH subfamily.
MCL	2	Brown	9	Sdhb	10090.ENSMUSP00000010007	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial; Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q).
MCL	2	Brown	9	Slc25a1	10090.ENSMUSP00000003622	Tricarboxylate transport protein, mitochondrial; Citrate transporter that mediates the exchange of mitochondrial citrate for cytosolic malate. Also able to mediate the exchange of citrate for isocitrate, phosphoenolpyruvate, cis- but not trans-aconitate and to a lesser extend maleate and succinate. Important for the bioenergetics of hepatic cells as it provides a carbon source for fatty acid and sterol biosyntheses, and NAD(+) for the glycolytic pathway. Required for proper neuromuscular junction formation. Belongs to the mitochondrial carrier (TC 2.A.29) family.
MCL	2	Brown	9	Tkt	10090.ENSMUSP00000022529	Transketolase; Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate.
MCL	2	Brown	9	Uqcrc1	10090.ENSMUSP00000026743	Cytochrome b-c1 complex subunit 1, mitochondrial; Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradie [...] 
MCL	3	Dark Golden Rod	6	Fdxr	10090.ENSMUSP00000021078	NADPH:adrenodoxin oxidoreductase, mitochondrial; Serves as the first electron transfer protein in all the mitochondrial P450 systems including cholesterol side chain cleavage in all steroidogenic tissues, steroid 11-beta hydroxylation in the adrenal cortex, 25-OH-vitamin D3-24 hydroxylation in the kidney, and sterol C- 27 hydroxylation in the liver.
MCL	3	Dark Golden Rod	6	Glrx5	10090.ENSMUSP00000021522	Glutaredoxin-related protein 5, mitochondrial; Monothiol glutaredoxin involved in the biogenesis of iron- sulfur clusters (By similarity). Involved in protein lipoylation, acting in the pathway that provides an iron-sulfur cluster to lipoate synthase (By similarity). Required for normal iron homeostasis (By similarity). Required for normal regulation of hemoglobin synthesis by the iron-sulfur protein ACO1 (By similarity). May protect cells against apoptosis due to reactive oxygen species and oxidative stress.
MCL	3	Dark Golden Rod	6	Iba57	10090.ENSMUSP00000049823	Putative transferase CAF17 homolog, mitochondrial; Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway. Belongs to the GcvT family. CAF17 subfamily.
MCL	3	Dark Golden Rod	6	Ireb2	10090.ENSMUSP00000034843	Iron-responsive element-binding protein 2; RNA-binding protein that binds to iron-responsive elements (IRES), which are stem-loop structures found in the 5'-UTR of ferritin, and delta aminolevulinic acid synthase mRNAs, and in the 3'-UTR of transferrin receptor mRNA. Binding to the IRE element in ferritin results in the repression of its mRNA translation. Binding of the protein to the transferrin receptor mRNA inhibits the degradation of this otherwise rapidly degraded mRNA.
MCL	3	Dark Golden Rod	6	Isca1	10090.ENSMUSP00000054858	Iron-sulfur cluster assembly 1 homolog, mitochondrial; Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway. Probably involved in the binding of an intermediate of Fe/S cluster assembly.
MCL	3	Dark Golden Rod	6	Isca2	10090.ENSMUSP00000021667	Iron-sulfur cluster assembly 2 homolog, mitochondrial; Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway. May be involved in the binding of an intermediate of Fe/S cluster assembly. Belongs to the HesB/IscA family.
MCL	4	Green Yellow	6	Lipt1	10090.ENSMUSP00000038739	Lipoyltransferase 1, mitochondrial; Catalyzes the transfer of the lipoyl group from lipoyl-AMP to the specific lysine residue of lipoyl domains of lipoate-dependent enzymes; Belongs to the LplA family.
MCL	4	Green Yellow	6	Lipt2	10090.ENSMUSP00000032967	Putative lipoyltransferase 2, mitochondrial; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate- dependent enzymes, which catalyze essential redox reactions (By similarity). Lipoyl-ACP can also act as a substrate although octanoyl- ACP is likely to be the physiological substrate (By similarity).
MCL	4	Green Yellow	6	Mcat	10090.ENSMUSP00000051569	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial; Catalyzes the transfer of a malonyl moiety from malonyl-CoA to the free thiol group of the phosphopantetheine arm of the mitochondrial ACP protein (NDUFAB1). This suggests the existence of the biosynthesis of fatty acids in mitochondria (By similarity). Belongs to the type II malonyltransferase family.
MCL	4	Green Yellow	6	Mecr	10090.ENSMUSP00000030742	Enoyl-[acyl-carrier-protein] reductase, mitochondrial; Catalyzes the NADPH-dependent reduction of trans-2-enoyl thioesters in mitochondrial fatty acid synthesis (fatty acid synthesis type II). Fatty acid chain elongation in mitochondria uses acyl carrier protein (ACP) as an acyl group carrier, but the enzyme accepts both ACP and CoA thioesters as substrates in vitro. Has a preference for short and medium chain substrates, including trans-2-hexenoyl-CoA (C6), trans-2-decenoyl-CoA (C10), and trans-2-hexadecenoyl-CoA (C16). Belongs to the zinc-containing alcohol dehydrogenase family. Quin [...] 
MCL	4	Green Yellow	6	Oxsm	10090.ENSMUSP00000022311	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial; May play a role in the biosynthesis of lipoic acid as well as longer chain fatty acids required for optimal mitochondrial function.
MCL	4	Green Yellow	6	Slc25a19	10090.ENSMUSP00000137534	Mitochondrial thiamine pyrophosphate carrier; Mitochondrial transporter mediating uptake of thiamine pyrophosphate (ThPP) into mitochondria.
MCL	5	Green 2	5	Ak1	10090.ENSMUSP00000068479	Adenylate kinase isoenzyme 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also possesses broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity). May provide a mechanism to buffer the adenylate energy charge for sperm motility.
MCL	5	Green 2	5	Dars2	10090.ENSMUSP00000041851	Aspartate--tRNA ligase, mitochondrial.
MCL	5	Green 2	5	Ppa2	10090.ENSMUSP00000029644	Inorganic pyrophosphatase 2, mitochondrial; Hydrolyzes inorganic pyrophosphate. This activity is essential for correct regulation of mitochondrial membrane potential, and mitochondrial organization and function. Belongs to the PPase family.
MCL	5	Green 2	5	Sco1	10090.ENSMUSP00000090673	Protein SCO1 homolog, mitochondrial; Copper metallochaperone essential for the maturation of cytochrome c oxidase subunit II (MT-CO2/COX2). Not required for the synthesis of MT-CO2/COX2 but plays a crucial role in stabilizing MT- CO2/COX2 during its subsequent maturation. Involved in transporting copper to the Cu(A) site on MT-CO2/COX2 (By similarity). Plays an important role in the regulation of copper homeostasis by controlling the abundance and cell membrane localization of copper transporter CTR1 ; Belongs to the SCO1/2 family.
MCL	5	Green 2	5	Tufm	10090.ENSMUSP00000095656	Elongation factor Tu, mitochondrial; Promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. Plays also a role in the regulation of autophagy and innate immunity. Recruits ATG5-ATG12 and NLRX1 at mitochondria and serves as a checkpoint of the RIG- I/DDX58-MAVS pathway. In turn, inhibits RLR-mediated type I interferon while promoting autophagy; Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. EF-Tu/EF-1A subfamily.
MCL	6	Green	5	Aldh18a1	10090.ENSMUSP00000025979	Delta-1-pyrroline-5-carboxylate synthase; Bifunctional enzyme that converts glutamate to glutamate 5- semialdehyde, an intermediate in the biosynthesis of proline, ornithine and arginine; In the C-terminal section; belongs to the gamma-glutamyl phosphate reductase family.
MCL	6	Green	5	Gclc	10090.ENSMUSP00000034905	Glutamate--cysteine ligase catalytic subunit; Belongs to the glutamate--cysteine ligase type 3 family.
MCL	6	Green	5	Gls	10090.ENSMUSP00000110158	Glutaminase kidney isoform, mitochondrial 65 kDa chain; Catalyzes the first reaction in the primary pathway for the renal catabolism of glutamine. Plays a role in maintaining acid-base homeostasis. Regulates the levels of the neurotransmitter glutamate, the main excitatory neurotransmitter in the brain.
MCL	6	Green	5	Gss	10090.ENSMUSP00000078630	Glutathione synthetase; Belongs to the eukaryotic GSH synthase family.
MCL	6	Green	5	Hsd17b10	10090.ENSMUSP00000026289	3-hydroxyacyl-CoA dehydrogenase type-2; Mitochondrial dehydrogenase that catalyzes the beta-oxidation at position 17 of androgens and estrogens and has 3-alpha- hydroxysteroid dehydrogenase activity with androsterone (By similarity). Catalyzes the third step in the beta-oxidation of fatty acids (By similarity). Carries out oxidative conversions of 7-alpha-OH and 7-beta-OH bile acids (By similarity). Also exhibits 20-beta-OH and 21-OH dehydrogenase activities with C21 steroids (By similarity). By interacting with intracellular amyloid-beta, it may contribute to the neuronal dysfunction  [...] 
MCL	7	Blue	3	Fars2	10090.ENSMUSP00000021857	Phenylalanine--tRNA ligase, mitochondrial; Is responsible for the charging of tRNA(Phe) with phenylalanine in mitochondrial translation. To a lesser extent, also catalyzes direct attachment of m-Tyr (an oxidized version of Phe) to tRNA(Phe), thereby opening the way for delivery of the misacylated tRNA to the ribosome and incorporation of ROS-damaged amino acid into proteins (By similarity); Belongs to the class-II aminoacyl-tRNA synthetase family.
MCL	7	Blue	3	Mars2	10090.ENSMUSP00000049770	Methionine--tRNA ligase, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family.
MCL	7	Blue	3	Vars2	10090.ENSMUSP00000047917	Valine--tRNA ligase, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family.
MCL	8	Light Sky Blue	3	Coq3	10090.ENSMUSP00000029909	Ubiquinone biosynthesis O-methyltransferase, mitochondrial; O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway; Belongs to the class I-like SAM-binding methyltransferase superfamily. UbiG/COQ3 family.
MCL	8	Light Sky Blue	3	Mipep	10090.ENSMUSP00000069840	Mitochondrial intermediate peptidase; Cleaves proteins, imported into the mitochondrion, to their mature size; Belongs to the peptidase M3 family.
MCL	8	Light Sky Blue	3	Pdss2	10090.ENSMUSP00000093393	Decaprenyl-diphosphate synthase subunit 2; Supplies decaprenyl diphosphate, the precursor for the side chain of the isoprenoid quinones ubiquinone-10. Belongs to the FPP/GGPP synthase family.
MCL	9	Medium Blue	2	Exoc6	10090.ENSMUSP00000064332	Exocyst complex component 6; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane. Together with RAB11A, RAB3IP, RAB8A, PARD3, PRKCI, ANXA2, CDC42 and DNMBP promotes transcytosis of PODXL to the apical membrane initiation sites (AMIS), apical surface formation and lumenogenesis; Belongs to the SEC15 family.
MCL	9	Medium Blue	2	Pkd1	10090.ENSMUSP00000049296	Polycystin-1; Component of a heteromeric calcium-permeable ion channel formed by PKD1 and PKD2 that is activated by interaction between PKD1 and a Wnt family member, such as WNT3A and WNT9B. Both PKD1 and PKD2 are required for channel activity (By similarity). Involved in renal tubulogenesis. Involved in fluid-flow mechanosensation by the primary cilium in renal epithelium. Acts as a regulator of cilium length, together with PKD2. The dynamic control of cilium length is essential in the regulation of mechanotransductive signaling. The cilium length response creates a negative feedback  [...] 
MCL	10	Purple	1	Bcs1l	10090.ENSMUSP00000027358	Mitochondrial chaperone BCS1; Chaperone necessary for the assembly of mitochondrial respiratory chain complex III. Plays an important role in the maintenance of mitochondrial tubular networks, respiratory chain assembly and formation of the LETM1 complex (By similarity).
